video_id,title,published_at,view_count,topic_cluster,topic_terms,vader_compound,vader_label,transformer_label,sentiment_agree,sentiment_label,sentiment_compound
qujk4A8zLUo,GTA 6 Trailer vs Real Life Comparison,2023-12-06 13:00:44,5030559,8,"vs, trailer vs, vs gta, comparison, trailer, gta trailer, gta comparison, gta",0.7717,positive,neutral,False,positive,0.7717
obiC2OzgThc,Grand Theft Auto 6 - DF Direct GTA 6 Special - Trailer 1 Tech Breakdown,2023-12-06 14:59:29,710589,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.9239,positive,neutral,False,positive,0.9239
aw8U0kgKzU8,GTA VI Trailer (Gta 6) - PS5 vs PS1 Graphics,2023-12-10 20:17:00,7553253,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.296,negative,neutral,False,negative,-0.296
FwNYfHoI61Q,GTA 6 Theory...,2023-12-10 21:02:33,3553329,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.296,positive,neutral,False,positive,0.296
5mMUBDjtS2U,The wait until 2025 is going to be hard! #gta6 #gta,2023-12-11 18:33:03,40299715,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.3365,positive,neutral,False,positive,0.3365
vWoUE01mhP4,Why No PC Version of GTA VI,2023-12-13 17:15:01,15713462,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.5267,negative,negative,True,negative,-0.5267
PlkxWEkDF_E,Rating All GTA Maps! [GTA 1-GTA 6],2024-02-07 21:00:26,16351721,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.0,neutral,neutral,True,neutral,0.0
mY6nqmcmKZU,The Official GTA 6 Release Date...,2024-03-06 21:00:34,781857,6,"release, release date, date, gta release, gta, date confirmed, gta releases, releases",0.0,neutral,neutral,True,neutral,0.0
rP7Z3NOzRWU,GTA VI Trailer In Real Life,2024-04-10 14:09:56,1794746,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.7088,positive,positive,True,positive,0.7088
nPzNXBNTlFc,"GTA VI Trailer with Franklin, Michael and Trevor",2024-04-26 15:00:07,4155412,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.5244,positive,neutral,False,positive,0.5244
rWWgfTa650k,GTA 6 GRAPHICS ARE INSANE 🤯 *Leaked Gameplay*,2024-06-13 16:33:00,81534975,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.9451,negative,negative,True,negative,-0.9451
66elptLjCzw,What it'll be Like When GTA 6 Releases,2024-10-08 22:30:58,1767848,6,"release, release date, date, gta release, gta, date confirmed, gta releases, releases",0.6124,positive,neutral,False,positive,0.6124
86AWdgUDaVs,GTA 6 Might Be DELAYED 😭🚨,2024-12-04 04:45:00,2796972,5,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november",-0.7481,negative,neutral,False,negative,-0.7481
PU98jKiq8HI,GTA 6 Won't Be Released,2025-02-11 20:07:45,1092788,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.2003,positive,neutral,False,positive,0.2003
vR_pJVjKlsE,GTA 6 Launch day Live scenes 🔥🤣 #gta6 #gaming,2025-02-15 04:26:21,11353125,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.3818,positive,positive,True,positive,0.3818
moR647gGrV0,GTA 6 Release Date Confirmed #shorts,2025-02-16 10:06:40,71307,6,"release, release date, date, gta release, gta, date confirmed, gta releases, releases",0.0,neutral,neutral,True,neutral,0.0
pZJS4Qvg0OA,IIT BABA REVEALS GTA 6 RELEASE DATE,2025-02-19 14:06:54,238614,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.0,neutral,neutral,True,neutral,0.0
8_ZLAQMLNuc,"GTA 6 will launch only on PS5, Xbox X/S",2025-03-06 14:32:44,2741268,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.2846,positive,neutral,False,positive,0.2846
DqoTQ7tJZxw,"GTA 6 TRAILER 1 IN (PS1,PS2,PS3,PS4,PS5) CONSOLES #gta #gta6 #gaming #shorts #playstation",2025-03-29 16:06:55,6141398,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.7531,positive,positive,True,positive,0.7531
_I1i62pl7ko,The Boy Who Hacked Rockstar and Leaked GTA 6 😡,2025-04-01 17:30:09,545055,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.8402,negative,negative,True,negative,-0.8402
lfYOReKMi1o,PS6 Releasing Before GTA 6,2025-04-27 15:01:09,3542553,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.2003,positive,positive,True,positive,0.2003
B1eGUqYkfKY,GTA 6 officially released statement confirming delay 😭 #ishowspeed #gta #gta6 #edit,2025-05-02 13:46:00,1259458,5,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november",-0.8689,negative,negative,True,negative,-0.8689
zlnnkAxueOU,GTA 6 Delayed 😭😭To 2026 #shorts,2025-05-02 16:01:45,99326,5,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november",-0.9349,negative,negative,True,negative,-0.9349
5iEbw7WTalk,GTA 6 delayed forever😭,2025-05-02 20:37:50,20494715,5,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november",-0.8402,negative,negative,True,negative,-0.8402
E8YxJBm1qAc,POV: GTA 6 Delayed to 2026,2025-05-02 22:05:15,992407,5,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november",-0.4215,negative,neutral,False,negative,-0.4215
36_1XwYA63g,Will GTA 6 Release on PC? Here's the Truth! 💻🎮,2025-05-03 14:00:05,501992,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.8867,positive,neutral,False,positive,0.8867
akNUUJ3IO4c,GTA 6 has been Delayed to 2026... #news,2025-05-03 23:30:01,1011716,5,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november",0.8802,positive,positive,True,positive,0.8802
gt8e_3sJTaI,GTA 6 Expectations,2025-05-04 17:31:00,24623326,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.0,neutral,neutral,True,neutral,0.0
EvLvMPRaztE,GTA 6 Delayed AGAIN!?,2025-05-05 02:00:20,129714,5,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november",-0.5781,negative,negative,True,negative,-0.5781
l4BKvggf_OY,Kai Cenat Reacts To GTA 6 Being Delayed To 2026! 😳,2025-05-05 13:59:21,600749,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.7067,negative,neutral,False,negative,-0.7067
ALxRIIwY170,Why they delayed Grand Theft Auto 6 #gta6 #delayed,2025-05-05 19:28:02,5329891,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.4939,positive,negative,False,positive,0.4939
ORybt8IopQY,GTA 6 DELAYED FOREVER 😭🥀 #shorts,2025-05-06 02:37:31,1414857,5,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november",-0.8877,negative,negative,True,negative,-0.8877
VQRLujxTm3c,Grand Theft Auto VI Trailer 2,2025-05-06 13:29:04,182260579,7,"trailer, theft auto, theft, grand theft, grand, auto, auto vi, vi",-0.81,negative,neutral,False,negative,-0.81
yAi0MYo5Mzw,GTA 6 (Grand Theft Auto 6) - Official Trailer 2,2025-05-06 13:41:23,4906125,7,"trailer, theft auto, theft, grand theft, grand, auto, auto vi, vi",0.9391,positive,neutral,False,positive,0.9391
tnASE1zCzv8,Trailer 2 di Grand Theft Auto VI,2025-05-06 14:34:41,221068,7,"trailer, theft auto, theft, grand theft, grand, auto, auto vi, vi",0.8126,positive,neutral,False,positive,0.8126
oERfx8FkJfY,GTA 6 Trailer 2 • Reaction,2025-05-06 15:24:50,197108,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.891,positive,positive,True,positive,0.891
l6RRdTFuepk,Grand Theft Auto VI - Trailer 2 | PS5 Games,2025-05-06 15:35:27,5992064,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.81,negative,neutral,False,negative,-0.81
_SWXDzG-uUw,GTA 6 TRAILER 2 REACTION | THE COSMIC BOY,2025-05-06 16:09:57,116425,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.34,negative,neutral,False,negative,-0.34
QRHZXkD0RMc,GTA 6 TRAILER 3 😱,2025-05-06 16:45:43,775617,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.891,negative,neutral,False,negative,-0.891
ou50lf9eIZY,Grand Theft Auto VI | Trailer 2,2025-05-06 17:04:01,130454,7,"trailer, theft auto, theft, grand theft, grand, auto, auto vi, vi",0.3818,positive,neutral,False,positive,0.3818
kNxIzL5YFdA,Grand Theft Auto VI Tráiler 2 | PlayStation España,2025-05-06 17:17:13,985502,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.925,positive,neutral,False,positive,0.925
5H5WlPJLycI,GTA 6 Trailer 2 Breakdown - SECRET DETAILS 🤫,2025-05-06 17:45:24,200642,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.5994,negative,neutral,False,negative,-0.5994
_TslMcyrgqw,GTA VI TRAILER 2 RELEASED #shorts,2025-05-06 17:52:02,4600179,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.4824,positive,positive,True,positive,0.4824
cv041_93_0Q,Grand Theft Auto VI - Trailer 2 | PS5,2025-05-06 17:59:03,815280,7,"trailer, theft auto, theft, grand theft, grand, auto, auto vi, vi",0.3818,positive,neutral,False,positive,0.3818
F8V5IOfwpbw,How Lucia Changed in GTA 6 Trailer 2 vs Trailer 1 #gta6 #gta,2025-05-06 18:00:24,4094363,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.7777,positive,positive,True,positive,0.7777
Ny9U3VKzROI,Grand Theft Auto VI Trailer 2,2025-05-06 18:05:29,686501,7,"trailer, theft auto, theft, grand theft, grand, auto, auto vi, vi",-0.81,negative,neutral,False,negative,-0.81
E07OTlhncP0,iShowSpeed Reacts To Grand Theft Auto VI Trailer 2,2025-05-06 18:18:23,4697286,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.9277,positive,neutral,False,positive,0.9277
3LnGb6-ly_k,GTA 6 Trailer 2 Breakdown: Everything You MISSED!,2025-05-06 18:43:28,1067384,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.6428,negative,neutral,False,negative,-0.6428
FdGtLEhmTNY,47 Things You MISSED in GTA 6 Trailer 2!,2025-05-06 19:21:32,1223455,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.6125,negative,positive,False,negative,-0.6125
W8C5ApmnftU,Gta 6 trailer 2 Edit | Midnight City,2025-05-06 19:57:17,158055,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.0,neutral,neutral,True,neutral,0.0
0RjXLf78toE,GTA 6 delayed 💔,2025-05-06 20:24:04,1023266,5,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november",-0.0516,negative,negative,True,negative,-0.0516
3HlnF9FTdaM,Grand Theft Auto VI Trailer 2 In Hindi🔥,2025-05-06 22:33:08,161779,7,"trailer, theft auto, theft, grand theft, grand, auto, auto vi, vi",0.4753,positive,positive,True,positive,0.4753
nuGwALbR-1Q,Cinna reacts to GTA 6 Trailer 2!,2025-05-06 22:42:55,182201,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.2225,positive,neutral,False,positive,0.2225
wwnXNhCQTLc,GTA 6 Versus GTA 5 graphics comparison,2025-05-07 09:59:48,6000570,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.9274,positive,neutral,False,positive,0.9274
pxdT3zTbWiE,Top 5 GTA VI Features [Trailer 2],2025-05-07 12:01:33,414133,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.3818,positive,neutral,False,positive,0.3818
K6rVM6gn6k4,DUBLADO – GTA 6 | Trailer 2 (NÃO-IA),2025-05-07 12:40:28,833834,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.2714,positive,neutral,False,positive,0.2714
3jN8zWECIXc,GTA 6 DELAYED to 2026 😭,2025-05-07 14:18:18,928555,5,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november",-0.8877,negative,negative,True,negative,-0.8877
ToEQ8L6zDgk,PS6 in GTA 6 Trailer?! 😱,2025-05-07 14:27:15,9420893,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.9047,negative,neutral,False,negative,-0.9047
0dSfJ7LkxpM,GTA 6 Trailer – Tamil Dub | Grand Theft Auto VI in Tamil! 🔥,2025-05-07 14:49:21,63860,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.9036,positive,positive,True,positive,0.9036
pMZW2U4RYh4,Lucia Looks Worse In Trailer 1? #gta6 #gta6trailer - DarkViperAU,2025-05-07 18:36:30,2881936,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.8531,negative,neutral,False,negative,-0.8531
Cyl4yGwxHq8,GTA VI Trailer 2 - GTA 6 vs GTA 5,2025-05-07 18:37:00,2793509,8,"vs, trailer vs, vs gta, comparison, trailer, gta trailer, gta comparison, gta",0.4588,positive,neutral,False,positive,0.4588
JLmYX-ydY0k,POV: It's GTA 6 Launch Day!,2025-05-07 20:18:26,9639288,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.0,neutral,positive,False,neutral,0.0
4bB2byshgsE,TANGGAL RILIS GTA 6 #shorts #games,2025-05-08 07:30:03,482679,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.4019,positive,neutral,False,positive,0.4019
7EpNQY-kFxo,GTA 6 delay 😭,2025-05-08 18:49:00,4902919,5,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november",-0.8689,negative,negative,True,negative,-0.8689
Yz93J6ozgAk,GTA 6 Trailer 1 VS Trailer 2 - Improvements in Details!,2025-05-08 18:51:51,79985,8,"vs, trailer vs, vs gta, comparison, trailer, gta trailer, gta comparison, gta",0.6351,positive,neutral,False,positive,0.6351
nbLqT5a4tck,GTA 6 Behind The Scenes #gta6 #cyberpunk2077 #gta #shorts #fyp #gtasanandreas,2025-05-08 22:01:47,18412207,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.0,neutral,neutral,True,neutral,0.0
Ja168RncaKs,Consoles REACT to GTA VI TRAILER #shorts,2025-05-09 01:15:56,20308676,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.0,neutral,neutral,True,neutral,0.0
4-cIgfD59FI,Michael De Santa's Actor Reacts To GTA 6 Trailer 2 🌴,2025-05-09 07:38:32,133094,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.0,neutral,neutral,True,neutral,0.0
gM_d4zXFDSI,iShowSpeed's Still Disappointed On GTA 6 Release Date 💀 #ishowspeed #gta6 #edit,2025-05-09 14:35:35,3557358,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.7351,negative,negative,True,negative,-0.7351
Bf4Tv7V2bQM,"Rockstar Made A ""Crazy"" Mistake In GTA 6 Trailer 2... #gta6 #gta6trailer - DarkViperAU",2025-05-09 14:46:17,3517017,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.8805,negative,neutral,False,negative,-0.8805
CByfPcKWjhU,GTA 6 Trailer 2 On PS2 #gta6 #gta #shorts,2025-05-09 21:10:27,989373,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.0,neutral,neutral,True,neutral,0.0
dkEqoe06Vno,GTA 5 vs GTA 6 Graphics Comparison ! #gta6 #gta5 #2026,2025-05-10 12:18:52,3098406,2,"extended look, extended, look, gta extended, gta, gameplay, gta6 extended, vs gta",0.0,neutral,neutral,True,neutral,0.0
6hgd8D8D7og,GTA 6 Trailer 2 vs GTA 5 comparison,2025-05-10 20:03:31,1285101,8,"vs, trailer vs, vs gta, comparison, trailer, gta trailer, gta comparison, gta",0.0,neutral,neutral,True,neutral,0.0
tk3yC-BCU2I,GTA 6 Trailer vs GTA 5 Comparison,2025-05-10 20:04:11,5116883,8,"vs, trailer vs, vs gta, comparison, trailer, gta trailer, gta comparison, gta",0.0,neutral,neutral,True,neutral,0.0
4YFITBovAwo,Crazy Details in *GTA 6* Trailer 2 !,2025-05-11 04:30:03,1169833,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.2924,negative,neutral,False,negative,-0.2924
Wq16CYvZqjw,GTA 6 Trailer 2 Mistake,2025-05-11 20:22:45,1276686,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.8126,negative,negative,True,negative,-0.8126
GqkpXex6bGk,GTA 6 In The North Sea!? 😱,2025-05-11 23:54:36,5423932,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.9108,negative,neutral,False,negative,-0.9108
NcYUamWqCQs,GTA VI Trailer 2 (Gta 6) - PS5 vs PS1 Graphics,2025-05-15 19:52:03,83345,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.296,negative,neutral,False,negative,-0.296
DbQMvYWTtzw,GTA 6 Trailer 2 but it's GTA 5,2025-05-16 15:12:19,470370,7,"trailer, theft auto, theft, grand theft, grand, auto, auto vi, vi",0.8402,positive,neutral,False,positive,0.8402
3wGIheurnyo,GTA 6 Gameplay Leaked…,2025-05-16 16:47:38,4764905,0,"leaked, gameplay leaked, gameplay, gta, leaks, gta gameplay, gta leaked, leaked gameplay",0.0,neutral,neutral,True,neutral,0.0
axZp9CH8prU,GTA 6 Trailer 2 but it's PS2,2025-05-16 21:15:35,1256498,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.0,neutral,neutral,True,neutral,0.0
wjaq9hdihC4,GTA 6: CONFIRMED Features! | That you will see in GTA 6,2025-05-17 08:23:56,1815519,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.5837,positive,neutral,False,positive,0.5837
TaCnHy-xY4c,"GTA VI: Console in 2026, PC in 2028?",2025-05-17 12:28:17,8427299,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.6227,positive,neutral,False,positive,0.6227
H5eYBcjUsZc,GTA 6 Graphics vs. RDR2 Graphics #gta6 #gta6trailer #rdr2 - DarkViperAU,2025-05-18 05:00:17,2937810,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.2263,positive,neutral,False,positive,0.2263
_ozHNKt3qHc,MICHAEL RETURNS IN GTA 6 EASTER EGG,2025-05-20 19:04:27,4052448,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.7489,positive,neutral,False,positive,0.7489
4pYL5sIQw68,GTA 6 Trailer 2: 5 Realistic Details You Missed,2025-05-20 21:24:35,1453530,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.4939,negative,neutral,False,negative,-0.4939
6D8h-ZKvGW8,Rockstar Testing GTA 6 FIRST LOOK On PS5🔥 #gta6 #shorts,2025-05-21 11:25:20,2225565,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.75,negative,neutral,False,negative,-0.75
EMMuHOBs4c8,GTA 6 is downloading but you hear trumpets outside #gta6 #gta #gtavi #grandtheftauto #skit #comedy,2025-05-21 19:00:27,42989612,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.0,neutral,neutral,True,neutral,0.0
f8IZhKcuEts,GTA 6 | Trailer 2 - DUBLADO - Grand Theft Auto VI,2025-05-23 15:05:00,268058,7,"trailer, theft auto, theft, grand theft, grand, auto, auto vi, vi",0.7184,positive,neutral,False,positive,0.7184
y_NFD3N8Izo,Don't underestimate GTA 6 🔥💀 | Kuldeep Singhaniaa #shorts #gta6,2025-05-24 18:25:36,47359586,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.2556,negative,positive,False,negative,-0.2556
7RkhkVFv7fI,GTA 6 New Leak Just Dropped!  #gta6 #gta #rockstargames #gta6leaks,2025-05-27 06:37:39,7681408,0,"leaked, gameplay leaked, gameplay, gta, leaks, gta gameplay, gta leaked, leaked gameplay",-0.8031,negative,positive,False,negative,-0.8031
72a3b_QDFUk,I Found Chop in GTA 6 Screenshots 💀❤️‍🩹,2025-06-03 13:08:52,6130065,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.0258,neutral,positive,False,neutral,0.0258
kaY7pJbYDy8,Grand Theft Auto VI Trailer 2 but in LEGO (4K),2025-06-05 23:35:29,1026658,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.2375,negative,neutral,False,negative,-0.2375
YST4zZar4Uo,What Cover Art Will GTA 6 Use? 🤷🏻‍♂️,2025-06-09 19:47:04,4117,3,"cover art, art, cover, gta cover, pre orders, orders, pre, gta",0.0,neutral,neutral,True,neutral,0.0
IbbwCEWudbc,The HIDDEN SECRET In GTA Artwork🤫 || #shorts #gta5 #gta6 #grandtheftauto5,2025-06-12 09:00:24,47380,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.0,neutral,neutral,True,neutral,0.0
